Username,Handle,Timestamp,Text,Associated Hashtags,Replies,Retweets,Likes
Bruce Mirken,@BruceMirken,2021-12-15T17:22:44.000Z,"At least #Kentucky's reps in Congress are leading the fight against #climatechange  -- oh, wait...
Sammy Roth
@Sammy_Roth
 · 3h
Study: Winter tornadoes to get more powerful as world warms https://apnews.com/article/climate-tornadoes-science-environment-weather-f0d020bb0f51f55cfdb488895483a318…","[""#Kentucky's""]",0,0,0
Ely Ramirez #SafeEdForAll,@Beth_Lizet,2021-12-15T17:22:03.000Z,"My heart goes out to your employees, families and children (whom may have lost a parent) of Edwardsville.Sending love and light.
@GovPritzker
 @GovParsonMO
 @RepKinzinger
 @IllinoisStateU
 @SIUE
 @POTUS
 @HillaryClinton
 @TheBushCenter
 @VanHalen
 #ClimateActionNow #ClimateChange #twister
The following media includes potentially sensitive content. Change settings
View
1","['#ClimateActionNow', '#twister']",0,1,0
Green Ladies Cleanin,@greenladiesc,2021-12-15T17:20:53.000Z,"RT Treehugger When it comes to fighting #climatechange, we should start looking at these tangled concrete webs https://bit.ly/3q0nLu1 
@lloydalter
  #ModernGreen","['#climatechange,', '#ModernGreen']",0,0,0
cerdi,@cerdi,2021-12-15T17:19:37.000Z," Tomorrow morning, Alioune Ndiaye (cerdi, 
@PracticalAction
) will defend his thesis on ""#Income inequalities and coping strategies in pastoral systems in #Senegal and #Chad"".  #pastoralism  #climatechange #Sahel 
@palune6
cerdi.uca.fr
PhD Defense: Alioune Ndiaye
1
3","['""#Income', '#Senegal', '#Chad"".', '#pastoralism', '#Sahel']",0,1,3
SplitScreenSpin,@SplitScreenSpin,2021-12-15T17:19:16.000Z,"A-Block Face-Off
Morning Joe:  #Environment  #ClimateChange
vs.
Fox & Friend:  #Tragedy  #WeatherEvent","['#Environment', '#Tragedy', '#WeatherEvent']",0,0,0
Conservation Intl,@ConservationOrg,2021-12-15T17:19:01.000Z,"Wetlands are among the best ecosystems to help fight #ClimateChange bc of their ability to sequester carbon. Unfortunately, they're rapidly being destroyed for agriculture & urban development. Here are 5 facts about these ecosystems.
conservation.org
5 things you should know about wetlands
On World Wetlands day, here are five facts you should know.
4
5",[],0,4,5
Barry Cusack,@BarryCusack,2021-12-15T17:18:20.000Z,"Replying to 
@Independent
Why don't we have government adverts on #ClimateChange? A far bigger threat to humanity, and all other life on Earth ",['#ClimateChange?'],0,0,0
Murray McIntosh,@Murray_McIntosh,2021-12-15T17:18:04.000Z,"Somehow, #climatedeniers are still populating the media.

If cold hard scientific evidence isn’t effective enough to motivate people, how can #policyexperts educate and inspire #climatechange action across all levels of #society? 
https://murraymcintosh.com/article/why-policy-experts-need-science-and-storytelling-to-inspire-climate-action-…","['#climatedeniers', '#policyexperts', '#society?']",0,0,0
The Pointer - Brampton,@PointerBrampton,2021-12-15T17:18:00.000Z,"Brutal Auditor General [
@OntarioAuditor
] report shows PC government ignoring environmental rights of residents 

#Environment
The Pointer's Natasha O'Neill [
@taasha__15
] reports
https://thepointer.com/article/2021-12-01/brutal-auditor-general-report-shows-pc-government-ignoring-environmental-rights-of-residents…

#Ontario #Highway413 #OnPoli #BradfordBypass #ClimateChange #ClimateAction
thepointer.com
Brutal Auditor General report shows PC government ignoring environmental rights of residents 
Brutal Auditor General report shows PC government ignoring environmental rights of residents 
1","['#Environment', '#Ontario', '#Highway413', '#OnPoli', '#BradfordBypass', '#ClimateAction']",0,1,0
Fruits Vs Bugs,@fruits_vs_bugs,2021-12-15T17:17:46.000Z,"Mango trees fears extinction from Fruit piercing moths

The fruits takes the responsibility to protect the trees 

An army of smiling mango fruits is ready to defend themselves         #indiedev #b3d #NFT #environment #climatechange #animation #gamedev
0:02
44 views
1
12
9","['#indiedev', '#b3d', '#NFT', '#environment', '#animation', '#gamedev']",1,12,9
MSCI,@MSCI_Inc,2021-12-15T17:17:30.000Z,"Around 75% of the world’s #toys are made in China — most coming from the country’s coastal provinces which face an increasing threat of #floodrisk as global temperatures rise. http://ms.spr.ly/6010ZKbkQ 
#MSCIResearch | #climatechange
2","['#toys', '#floodrisk', '#MSCIResearch']",0,0,2
Ian,@darthpastyboy,2021-12-15T17:17:11.000Z,"Really excited as my new Christmas single is released tomorrow.  It's called 'Turn on the Christmas lights, my darling - 'cos nobody gives a fuck about #climatechange at Christmas'.",[],0,0,0
Ted Larson Freeman,@TedLF,2021-12-15T17:16:43.000Z,"Climate action with revenue recycling has benefits for poverty, inequality and well-being | Nature Climate Change #climatechange #priceonpollution #EICDA ⁦
@citizensclimate
⁩
nature.com
Climate action with revenue recycling has benefits for poverty, inequality and well-being
Nature Climate Change - Climate policy analyses often ignore the possibility of progressive redistribution of carbon tax revenues and assume that mitigation cost will burden the poor in the short...","['#priceonpollution', '#EICDA']",0,0,0
PH Dousma,@PHD2468,2021-12-15T17:15:16.000Z,"Climate change has destabilized the Earth’s poles, putting the rest of the planet in peril
- Washingtonpost
#ClimateChange #Antartica #TwaitesGlacier
washingtonpost.com
Climate change has destabilized the Earth’s poles, putting the rest of the planet in peril
New research shows how rising temperatures have irreversibly altered both the Arctic and Antarctic. Ripple effects will be felt around the globe.","['#Antartica', '#TwaitesGlacier']",0,0,0
Phil Lynch,@PhilALynch,2021-12-15T17:15:05.000Z,"13/ Lesson: The power of small states and civil society coalitions, with the enviro resolution led by 
@CRONUGVA
 & ors, the #climatechange resolution led by 
@RMIGeneva
 & ors, and joint statement on Egypt led by 
@FinlandGeneva
, in each case in close partnership with civil society
1
1
4",[],1,1,4
Eco To Go Food Packs,@ETGFoodPacks,2021-12-15T17:15:02.000Z,"A billion trees capture atmospheric carbon equivalent to the emissions of one million cars every year.

https://soci.es/cBw

#ClimateChange #GoGreen #green","['#GoGreen', '#green']",0,0,0
Sandeep Pathe | Save Ajni Vann,@sandeeppathe,2021-12-15T17:11:31.000Z,"#Maharashtra was first to make  education available for Girls and even now Maharashtra has proved that it's most sensitive towards its education policies and #ClimateChange
Manka Behl
@mankabTOI
 · 11h
Maharashtra becomes first to introduce Climate Change subject in mainstream curriculum for school students with @UNICEF @UNICEFIndia 
""Climate Change is no longer a theoretical issue. Activity-based learning plans focus on inculcating climate consciousness"" says - @AUThackeray
1
3",['#Maharashtra'],0,1,3
Columbia- WHO Center for Global Mental Health,@ColumbiaGMHP,2021-12-15T17:11:26.000Z,"In case you missed it or want to re-watch our seminar on #ClimateChange and #GlobalMentalHealth, the recording is now available! https://youtu.be/4jng81sxcQg

Huge thanks to all of our panelists 
@JuraAugust
 @julian_eaton
 @AshleeCunsolo
 @CDenckla
, and Dr. Kyle Hill for your insights!
Columbia Psychiatry and 6 others
1
1","['#GlobalMentalHealth,']",0,1,1
Bob Hill,@bobhillbrain,2021-12-15T17:11:21.000Z,"Nuclear fusion is far, so we must go out It of #climate equation https://rpujolviven.blogspot.com/2013/02/nuclear-fusion-between-energetic.html… #ClimateEmergency #ClimateCrisis #energycrisis #energy 
Can #Nuclear Fusion Put the Brakes on #ClimateChange? https://newyorker.com/magazine/2021/10/11/can-nuclear-fusion-put-the-brakes-on-climate-change?utm_source=twitter&utm_medium=social&utm_campaign=onsite-share&utm_brand=the-new-yorker&utm_social-type=earned… via 
@NewYorker
newyorker.com
Can Nuclear Fusion Put the Brakes on Climate Change?
Amid an escalating crisis, the power source offers a dream—or a pipe dream—of limitless clean energy.","['#climate', '#ClimateEmergency', '#ClimateCrisis', '#energycrisis', '#energy', '#Nuclear', '#ClimateChange?']",0,0,0
Indus Earth Trust,@IndusEarthTrust,2021-12-15T17:11:16.000Z,"On behalf of the IET & UNESCO, we are delighted to announce that the story idea of the following participants has been accepted. Congratulations! Stay tuned for more updates.

#ClimateChange #ClimateChangeStories #Pakistan #UNESCO
Sadia Khalid and 3 others
3
4","['#ClimateChangeStories', '#Pakistan', '#UNESCO']",0,3,4
ClearingHouseViews,@ClearingViews,2021-12-15T17:10:07.000Z,"Lab-grown meats and cow-free dairy can meet the demand for protein and help address climate change https://theconversation.com/lab-grown-meats-and-cow-free-dairy-can-meet-the-demand-for-protein-and-help-address-climate-change-173404?utm_source=twitter&utm_medium=bylinetwitterbutton… via 
@ConversationCA
 #Diet #Nutrition #ProteinSources #GreenhouseGases #ClimateChange #Sustainability #CarbonFootprint #Vegetarian #PlantBased
theconversation.com
Lab-grown meats and cow-free dairy can meet the demand for protein and help address climate change
Technological advancements in food production have created new ways to meet the growing demand for protein. Canada’s investment in this industry may create jobs and reduce carbon emissions.","['#Diet', '#Nutrition', '#ProteinSources', '#GreenhouseGases', '#Sustainability', '#CarbonFootprint', '#Vegetarian', '#PlantBased']",0,0,0
STEM Teaching Tools,@STEMTeachTools,2021-12-15T17:10:06.000Z,"Climate change is an interdisciplinary science topic. Aspects of the topic should be taught in many different science classes: http://stemteachingtools.org/brief/12

#ClimateChange #SciEd #ClimateScience #ClimateEd
1","['#SciEd', '#ClimateScience', '#ClimateEd']",0,1,0
CT Green Bank,@CTGreenBank,2021-12-15T17:10:02.000Z,"Introducing Green Liberty Notes. Now, with as little as $100, you can invest to confront climate change and support Connecticut small businesses. Learn more at http://greenlibertynotes.com  #greeninvestment #climatechange #Connecticut
3
5","['#greeninvestment', '#Connecticut']",0,3,5
SE Energy-Sustain,@SchneiderESS,2021-12-15T17:10:01.000Z,"Deciding on your company's goals is crucial for a corporate commitment, and goals related to #ClimateChange are no different. Rooting timelines in science and proven standards for #efficiency, #decarbonization and #RenewableEnergy goal-setting increase their achievability.
2
1","['#efficiency,', '#decarbonization', '#RenewableEnergy']",0,2,1
Craig Morrison,@CraigP_Morrison,2021-12-15T17:09:52.000Z,"via 
@NYTimes
 The use of probes has revealed that global warming is affecting the Antarctic current in complex ways, and these shifts could complicate the ability to fight climate change in the future. #climateactionnow #climatechange
nytimes.com
Rising From the Antarctic, a Climate Alarm
Wilder winds are altering crucial currents. The sea is releasing ancient carbon dioxide. Vast ice shelves are melting from below. See why the experts are increasingly alarmed.
1",['#climateactionnow'],0,0,1
FreeThinkerAmerica,@ThinkerAmerica,2021-12-15T17:06:56.000Z,"#LakeMead is not low because of #ClimateChange- its lower because there are over 2000 new communities that draw water from the colorado river before it even makes it to the lake - #StopTheBullshit 
@FOX5Vegas
GIF","['#LakeMead', '#ClimateChange-', '#StopTheBullshit']",0,0,0
Tim Guinee,@TimGuinee,2021-12-15T17:06:48.000Z,"#ClimateChange is affecting WV's farmers now. .
@Preserve_WV
 @WVFarmBureau
 Don't let 
@Sen_JoeManchin
 disregard this and vote against the interest of this major WV economic sector. Tell him to support the #BuildBackBetterAct RT https://climatehubs.usda.gov/hubs/northeast/topic/what-west-virginias-changing-climate-means-its-farmers…",['#BuildBackBetterAct'],0,0,0
CCA_CAC,@cca_reports,2021-12-15T17:06:46.000Z,"Our latest report, Building a Resilient Canada, will be released January 2022. Sign up to get notified when it’s released: https://buff.ly/3F1sv8G #CCAreports #DisasterRiskReduction #DisasterRiskManagement #ClimateChange #DisasterResilience #ClimateChangeAdaptation #Adaptation
2
3","['#CCAreports', '#DisasterRiskReduction', '#DisasterRiskManagement', '#DisasterResilience', '#ClimateChangeAdaptation', '#Adaptation']",0,2,3
ZilAds,@ZilliqaAds,2021-12-15T17:05:49.000Z,"RT 
@GreenBeanzGame
: #Beanterra #climatechange #Zilliqa #NFTGame
1
5","['#Beanterra', '#Zilliqa', '#NFTGame']",0,1,5
Amarjeet Thakur,@ThakurKiDuniya,2021-12-15T17:05:28.000Z,"Issues we should be discussing! 
#ClimateChange
ndtv.com
Heartbreaking Pics Show Impact Of Kenya's Drought On Its Giraffe Population
Heartbreaking photos have captured the impact of Kenya's drought on the country's giraffe population",[],0,0,0
ResilienceLinks,@ResilienceLinks,2021-12-15T17:05:03.000Z,"Estimates of #carbon budgets have been improved by new methodology, updated evidence and the integration of results from many lines of evidence.

How can these estimates be utilized to limit the effects of #climatechange?

Learn more from 
@IPCC_CH
:
resiliencelinks.org
Climate Change: The Physical Science Basis | ResilienceLinks
Working Group I Contribution to the Sixth Assessment Report of the Intergovernmental Panel on Climate Change","['#carbon', '#climatechange?']",0,0,0
Liechtenstein UN,@LiechtensteinUN,2021-12-15T17:04:00.000Z,"Thank all panelists and 
@ipinst
 for a fascinating first discussion on different legal avenues to fight #ClimateChange. We look forward to the follow up workshops on each legal approach in early 2022!
1
1
2",['#ClimateChange.'],1,1,2
Clawton Primary School,@ClawtonSchool,2021-12-15T17:03:31.000Z,"Hedgehog Class have been busy little elves this week, making goods to sell at our mini Christmas market. The money raised will adopt a penguin in Antarctica to help the WWF with their work. #inspiringfundraisers #globalcitizens #stewardship #climatechange #community #alumnisC360
1","['#inspiringfundraisers', '#globalcitizens', '#stewardship', '#community', '#alumnisC360']",0,0,1
Tetra Tech,@TetraTech,2021-12-15T17:03:24.000Z,"We were selected by 
@USAID
 to reduce #GreenhouseGas emissions & promote #biodiversity conservation in #Cambodia. Under the 5-year, $24 million contract we use our #LeadingWithScience approach to mitigate #ClimateChange & improve #NaturalResource governance.https://loom.ly/vkA-6Uw
1","['#GreenhouseGas', '#biodiversity', '#Cambodia.', '#LeadingWithScience', '#NaturalResource']",0,0,1
Earth Hero,@EarthHeroOrg,2021-12-15T17:03:04.000Z,"A lot of little decisions by billions of us humans has a meaningful impact. The change starts with us, each of us!

Please share 
@earthhero
#ecofriendlyliving #climatechange #globalwarming #ourplanetourhome #lowimpactmovement #earthfriendly #environment #saveourplanet
1","['#ecofriendlyliving', '#globalwarming', '#ourplanetourhome', '#lowimpactmovement', '#earthfriendly', '#environment', '#saveourplanet']",0,0,1
YOUMANITY,@ONEYOUMANITY,2021-12-15T17:02:34.000Z,"To continue our thread on human rights issues that marked 2021, here is a post on climate change. Unless we find a solution to protect what is left of out planet, there won’t be a future. Let us become more respectful towards nature. Photo by Markus Spiske 
#ClimateChange",[],0,0,0
LEODublinCity,@LEODublinCity,2021-12-15T17:02:30.000Z,"Food Start-up Landscape & Funding webinar 16/12 . Enterprise Ireland supports detailed. https://globalambition.ie/webinar-irish-food-startup-landscape-and-funding/… #Food #Beverage #Climatechange #Sustainability 
@Entirl","['#Food', '#Beverage', '#Sustainability']",0,0,0
Stone Soup Leadership Institute,@stonesoupleader,2021-12-15T17:00:31.000Z,"Are you concerned for the next generation? Anxious about #climatechange? Get your copy of Stone Soup for a Sustainable World & combat that anxiety head on. Give yourself the gift of inspiration! http://amzn.to/32zwGXV 

#Sustainability  #GiftIdeas #BookReviews","['#climatechange?', '#Sustainability', '#GiftIdeas', '#BookReviews']",0,0,0
Treehugger.com,@Treehugger,2021-12-15T17:00:27.000Z,"When it comes to fighting #climatechange, we should start looking at these tangled concrete webs https://bit.ly/3q0nLu1 
@lloydalter
4
15","['#climatechange,']",0,4,15
CGIAR FTA,@FTA_CGIAR,2021-12-15T17:00:24.000Z," #Publication: Researchers recommend folding secondary forest governance into a #landscapeapproach in Peru. Strengthening local forest governance could help to drive benefits of #climatechange #mitigation incentives directly to local forest stewards:
mdpi.com
Strengthening Local Governance of Secondary Forest in Peru
Natural forest regrowth is critical for restoring ecosystem services in degraded landscapes and providing forest resources. Those who control tenure and access rights to these secondary forest areas...
2
2","['#Publication:', '#landscapeapproach', '#mitigation']",0,2,2
Bulletin of the Atomic Scientists,@BulletinAtomic,2021-12-15T17:00:21.000Z,"“We have not caught up with the reality of #climatechange. Until we wrap our heads around what’s to come, we’re going to have to deal with more severe storms that cause a lot more industrial spills and kill a lot more people.”
thebulletin.org
Gathering storm: The industrial infrastructure catastrophe looming over America's Gulf coast -...
A Bulletin/MIT analysis shows that almost 4,900 sites that handle toxic chemicals sit in flood-prone areas of Texas and Louisiana, posing a catastrophic environmental threat if a major hurricane hits...
7
5",['#climatechange.'],0,7,5
Prime8,@Prime8_intl,2021-12-15T17:00:16.000Z,"The English Oak can live well over 500 years. This iconic #Tree supports a wider habitat of life than any other UK tree species. Fallen leaves help #biodiversity  too! #environment   #climatechange  #children  #education #educationalgames #conservenature #Prime8 #Primasia
13
7","['#Tree', '#biodiversity', '#environment', '#children', '#education', '#educationalgames', '#conservenature', '#Prime8', '#Primasia']",0,13,7
@NII,@NII,2021-12-15T17:00:05.000Z,"Replying to 
@Mattwithchips
 @NA_YGN
 and 
@breakfasttv
Bringing the energy and attention to #climatechange!
1
1",['#climatechange!'],0,1,1
Dawn Heinbach,@JournoActivist,2021-12-15T17:00:03.000Z,"#EPA’s watchdog plans climate, #environmentaljustice probes

https://eenews.net/articles/epas-watchdog-plans-climate-environmental-justice-probes/…

#climatechange
eenews.net
EPA's watchdog plans climate, environmental justice probes
EPA's internal watchdog is planning to conduct dozens of audits over the coming year, including several centered on the agency's handling of climate
1","['#EPA’s', '#environmentaljustice']",0,0,1
Nu Group Services Limited,@NuGroupSL,2021-12-15T17:00:03.000Z,"Over this festive period, don't forget about those #gifts that help our planet

For every 10 transactions (per client) we will plant another tree which is helping to stabilise our climate! 

Want to find out more about our work within #climatechange?

http://thenugroup.co.uk/about/environmental/trees…
1","['#gifts', '#climatechange?']",0,1,0
Panther Pikture Studios,@PantherPiktures,2021-12-15T17:00:02.000Z,"“I think calling it climate change is rather limiting. I would rather call it the everything change.” - Margaret Atwood (Canadian poet, novelist and environmental activist)

#environmentalism #climatechange",['#environmentalism'],0,0,0
OUinArezzo,@OUinArezzo,2021-12-15T17:00:00.000Z,"Climate change refers to long-term shifts in temperatures and weather patterns. These shifts may be natural, such as through variations in the solar cycle.
For more information, follow us on our social media platforms.#climatechange #DEI #OUA #OUinArezzo #BoomerissimoSoonerissimo
3
3","['platforms.#climatechange', '#DEI', '#OUA', '#OUinArezzo', '#BoomerissimoSoonerissimo']",0,3,3
HomeSafetyScotland,@HomeSafetyScot,2021-12-15T16:59:28.000Z,"Are you actively doing things to improve #CommunitySafety long term by reducing the impact of #ClimateChange 
@lumsdensrant
 @RoSPAScotland
 @ElecSafetyFirst
 @wayne_mackay
 @SGNgas
 @COHomeSafety
 @fire_scot
 @
The Scottish Community Safety Network
@TheSCSN
 · 2h
Final push for our last Question of the Month! Please share & vote if you haven't already! ""Are you actively doing things which will improve long term #CommunitySafety by reducing contributions to #ClimateChange?"" @theBSCprogramme @SFRSYourSafety @GilliesLorraine @jw365
Show this poll
1
1","['#CommunitySafety', '#CommunitySafety', '#ClimateChange?""']",0,1,1
CKM Solutions Group,@CKMSolutions,2021-12-15T16:59:17.000Z,"After he asked Biden to help his own state of Kentucky, Rand Paul lashed out at critics who brought up his history of opposing disaster relief bills - #preparedness #disaster #climatechange #kentucky
newsbrig.com
After he asked Biden to help his own state of Kentucky, Rand Paul lashed out at critics who brought...
Sen. Rand Paul prepares to hear Secretary of State Antony Blinken testify during a Senate Foreign Relations Hearing to examine the United States
2","['#preparedness', '#disaster', '#kentucky']",0,2,0
Umar,@ApkaUmar,2021-12-15T16:54:38.000Z,"A much needed topic to be discuss with solutions

پاکستان میں ہر سال ایک لاکھ 30 ہزار سے زائد افراد ماحولیاتی آلودگی کی وجہ سے مختلف بیماریوں کا شکار ہو رہے ہیں.
جن میں سے زیادہ تر کا تعلق لاہور، گوجرانوالہ، کراچی، راولپنڈی سے ہے.
#ClimateChange
#smog #TreePlantation
Ali Zafar
@AliZafarsays
 · 13h
Get ready to be shocked. This is what our kids and everyone is breathing in Lahore. Anything above 300 AQI, the world panics. Here we’re all quiet at 900. Any update on smog policy and it’s implementation anyone ? #Lahore #smog
Show this thread
2
8
19","['#smog', '#TreePlantation', '#Lahore', '#smog']",2,8,19
"Sohail Mahmood, PhD",@drsohailmahmood,2021-12-15T16:54:35.000Z,"Please join Global Muslim Volunteers (GMV) https://globalmuslimvolunteers.org Spring 2022 Tree Plantation Campaign Pakistan #ClimateCrisis #ClimateAction #ClimateEmergency #GlobalWarming
#project #pakistan #treeplanting #environmentalimpact #globalwarming #climateemergency #climatechange
2
1","['#ClimateCrisis', '#ClimateAction', '#ClimateEmergency', '#GlobalWarming', '#project', '#pakistan', '#treeplanting', '#environmentalimpact', '#globalwarming', '#climateemergency']",0,2,1
$₱ƗԞɆ,@_spikeguard_,2021-12-15T16:53:59.000Z,"Biden just fcuked #climatechange in the a$$ by leasing the largest land parcel to Oil companies for fossil fuel exploration. His campaign promise was not to lease any more land for such activities.

President Biden's Oil Lease Sale is a Death Sentence
newsweek.com
President Biden's oil lease sale is a death sentence | Opinion
President Joe Biden needs to realize that for young people like us, this lease sale and every new fossil fuel project he approves will become one of our top voting issues in 2022 and 2024.
1
3",[],0,1,3
UN Development,@UNDP,2021-12-15T16:53:39.000Z,"The development of cities is both the cause and solution to #ClimateChange. In Kosovo, 
@UNDP_Kosovo
, 
@UNHABITAT
 and partners are working together to adopt integrated approaches to strengthen local #ClimateAction for a greener, more inclusive urban future. https://bit.ly/3yBGaRK
Maria Suokko and 3 others
7
16","['#ClimateChange.', '#ClimateAction']",0,7,16
elaineperry,@elainevancouver,2021-12-15T16:53:09.000Z,"Old-growth #forests help protect communities from the dangers of #climatechange. Let's return the favour. Call for a reform to forestry practices that puts resilient forests and community safety first: http://act.newmode.social/751758522t   

#SaveOldGrowth #ClimateAction
sierraclub.bc.ca
Old-growth forests lower climate risks for communities, tell the B.C. government to protect them...
We are entering a new era of climate emergency. By adapting forest management, we can mitigate many of the risks for communities. Call on the B.C. government to protect old-growth forests now!","['#forests', '#climatechange.', '#SaveOldGrowth', '#ClimateAction']",0,0,0
Calvin Schwartz,@Earthood,2021-12-15T16:52:41.000Z,"with TIM WRIGHT, DOME AUDIO, Rutgers, NE #Patriots #football
CONVERSATIONS WITH CALVIN WE THE SPECIES
YouTube https://youtube.com/c/ConversationswithCalvinWetheSpecIEs…
PLEASE SUBSCRIBE
119 Interviews GLOBAL Reach #Climatechange Earth Life. Amazing PEOPLE 
@rutgersalumni
 #GlobalWarming #WomensHealth 
@RutgersMBB
1","['#Patriots', '#football', '#GlobalWarming', '#WomensHealth']",0,0,1
Kellogg Biological Station LTER,@KBSLTER,2021-12-15T16:52:37.000Z,"This summer, Rachel Drobnak & Allison Smith worked as 
@MSUExtension
 Sustainable Agriculture interns at 
@KelloggBioStn
. They interviewed scientists & shot videos to showcase #climatechange research taking place in the 
@KBSLTER
. More on Rachel's summer here!
michiganfarmnews.com
MSU student explores opportunities in science and the arts - Michigan Farm News
2
4",[],0,2,4
zxcxz,@Zxcxz_xyz,2021-12-15T16:51:26.000Z,"Bob Lutz Says BMW And Mercedes Are Afraid Of Tesla's Elon Musk https://ift.tt/31Shetj #ElectricVehicles #Tesla #EV #Renewables #ClimateChange #RenewableEnergy
insideevs.com
Bob Lutz Says BMW And Mercedes Are Afraid Of Tesla's Elon Musk
Lutz has been hot and cold, mostly cold, about Tesla over the years, so this is telling.","['#ElectricVehicles', '#Tesla', '#EV', '#Renewables', '#RenewableEnergy']",0,0,0
zxcxz,@Zxcxz_xyz,2021-12-15T16:51:25.000Z,"The Rimac Nevera Is A Game Changer For Hypercars, DeMuro Says https://ift.tt/3EYupa5 #ElectricVehicles #Tesla #EV #Renewables #ClimateChange #RenewableEnergy
insideevs.com
The Rimac Nevera Is A Game Changer For Hypercars, DeMuro Says
If you have a cool $2.5 million lying around, the all-electric Rimac Nevera is the hypercar to have.","['#ElectricVehicles', '#Tesla', '#EV', '#Renewables', '#RenewableEnergy']",0,0,0
Barry Cusack,@BarryCusack,2021-12-15T16:51:14.000Z,"High time 
@WYPF_LGPS
 stopped causing #ClimateChange and using our money to do it 

#ThereIsNoPlanetB  
UK Divest
@UKDivest
 · Dec 14
Congrats to @FossilFreeWYPF in securing the support of @bradfordmdc to divest the West Yorkshire Pension Fund! 

Now, when will the WYPF listen to councillors, fund members and local residents and commit to ending fossil fuel investments? #DivestNow

https://thetelegraphandargus.co.uk/news/19781204.campaigners-declare-recent-bradford-council-shift-the-best-christmas-present/…","['#ThereIsNoPlanetB', '#DivestNow']",0,0,0
Christopher Cartwright,@chriscartw83,2021-12-15T16:51:00.000Z,"Another day with map  WORSENING 

What is happening with #Methane emissions ? 
15.12.2021
WTF is going on, in  #Arctic ? areas expanding again , hotspots popping up 
#Amazon joining the club also 
#ClimateCrisis  #ClimateChange #weareXR
4","['#Methane', '#Arctic', '#Amazon', '#ClimateCrisis', '#weareXR']",0,0,4
Kresge Foundation,@kresgefdn,2021-12-15T16:49:01.000Z,"This collection of 193 stories from the 
@nytimes
 that show the reality of #ClimateChange in every country in the world demonstrates the urgent need for a global effort to implement climate change mitigation & adaptation strategies. #ClimateAction
nytimes.com
Opinion | Postcards From a World on Fire
These 193 stories show the reality of climate change. In every country in the world.
1
2",['#ClimateAction'],0,1,2
Mary Vaughan,@mmvaughan71,2021-12-15T16:48:52.000Z,"#climatechange
1",[],0,0,1
Rupert Rivett,@rupephoto,2021-12-15T16:48:09.000Z,"Replying to 
@katzyna
 and 
@GeorgeMonbiot
It’s going to be too hot in many countries due to #climatechange so we need to prepare to accommodate people moving to more habitable areas on Earth. Will the infrastructure of those countries be able to cope? Capitalism should be replaced to avoid unnecessary growth",[],0,0,0
Bob Hill,@bobhillbrain,2021-12-15T16:48:07.000Z,"#Australia makes the same actions about #climatechange, the different is the lack of Hypocrisy https://rpujolviven.blogspot.com/2016/10/hypocrisy-to-fight-against-climate.html… #ClimateEmergency 
Australia fights ruling of duty to prevent climate change
apnews.com
Australia fights ruling of duty to prevent climate change | AP News
CANBERRA, Australia (AP) — The Australian government on Monday began its legal challenge to a judge’s landmark decision that the administration has a duty of care to prevent future climate change in...","['#Australia', '#climatechange,', '#ClimateEmergency']",0,0,0
Politibot,@_politibot,2021-12-15T16:48:04.000Z,"https://twitter.com/99nole/status/1471159078772695040… #ClimateChange
NOAA Climate.gov
@NOAAClimate
 · 4h
Climate change's impact on wildfire burned area across the western U.S. twitter.com/usgcrp/status/…",[],0,0,0
OPPORTUNITIES FOR YOUTH,@opportunitiesfy,2021-12-15T16:47:52.000Z,"Are you committed to #ClimateAction? 

Apply by 31 Dec to the Max Thabiso Edkins Climate Ambassador Program to design & lead climate initiatives 

Learn more and apply https://lnkd.in/dwWg2u2N

#youth #climatechange
1","['#ClimateAction?', '#youth']",0,0,1
Celebi Down,@CelebiDown,2021-12-15T16:47:51.000Z,"Let's build a #CreativeSociety! It's only one way to survive like a humankind  #GlobalCrisis #Time4Truth #ClimateChange #Tonga
Creative Society
@CreativeScty
 · 4h
I thank #CreativeSociety project for the courage to demand time for #truth, to call for bold, decisive actions to end #climatechange crisis! - Dr. Pohiva Tu’l’onetoa, Prime Minister, Kingdom of #Tonga | Conf. #GlobalCrisis: http://youtu.be/hRVCDgRTuHY https://twitter.com/i/broadcasts/1YpJkZavlNAGj…
5","['#CreativeSociety!', '#GlobalCrisis', '#Time4Truth', '#Tonga', '#CreativeSociety', '#truth,', '#Tonga', '#GlobalCrisis:']",0,0,5
Bob Hill,@bobhillbrain,2021-12-15T16:47:16.000Z,"The transition to green problem is that there is no transition https://rpujolviven.blogspot.com/2017/02/spring-asthenia-in-fifth-of-february.html… #energy #energycrisis #GlobalWarming #climatechange 
Getting to zero – The first big energy shock of the green era
economist.com
The first big energy shock of the green era
There are grave problems with the transition to clean energy power
1","['#energy', '#energycrisis', '#GlobalWarming']",0,0,1
David Dawkins,@Hitecsoftouch,2021-12-15T16:47:12.000Z,"#yeg #climateChange
Mack Male
@mastermaq
 · 16h
""I appreciate your sense of urgency,"" @_TimCartmell says to @michaeljanz, who spoke about the need for action on the climate emergency. ""Frankly...I don't hear it shared by Administration,"" Cartmell continued. #yegbudget #yegcc
Show this thread","['#yeg', '#yegbudget', '#yegcc']",0,0,0
